function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,20,1.000,3.257,3828394.667,nan,1,0,12769414,nmap,0,1.000,0.066,11951786.667,nan,1,0,0,env,160,1.000,16.157,2861568.000,nan,1,0,15606241,41.533,89.417,7549100032.000,7536695808.000,89.126,88.971,nan,nan,45,0
figlet,20,1.000,3.193,14779050.667,nan,1,0,13334531,nmap,0,1.000,0.070,11957248.000,nan,1,0,0,env,160,1.000,15.275,2837162.667,nan,1,0,14179949,42.933,100.267,7540731904.000,7538086400.000,89.019,88.981,nan,nan,40,0
figlet,20,1.000,2.925,14837998.933,nan,2,0,16821546,nmap,0,1.000,0.060,11694080.000,nan,1,0,0,env,180,1.000,17.386,4873301.333,nan,2,0,25899216,39.267,98.683,7547260928.000,7546713088.000,89.090,89.078,nan,nan,45,0
figlet,20,1.000,3.530,14857216.000,nan,2,0,16267750,nmap,0,1.000,0.072,11654485.333,nan,1,0,0,env,180,1.000,18.417,3418828.800,nan,1,0,86402359,40.267,96.733,7561037824.000,7564710912.000,89.256,89.299,nan,nan,30,0
figlet,20,1.000,3.345,14825472.000,nan,1,0,15134665,nmap,0,1.000,0.054,11360256.000,nan,1,0,0,env,180,1.000,17.863,5029614.933,nan,2,0,48330547,41.200,94.367,7583227904.000,7577972736.000,89.516,89.453,nan,nan,30,0
figlet,20,1.000,3.232,14895957.333,nan,1,0,13781229,nmap,0,1.000,0.062,11276288.000,nan,1,0,0,env,200,1.000,18.368,6533120.000,nan,1,0,14934491,40.600,93.667,7555100672.000,7551239680.000,89.159,89.113,nan,nan,75,0
figlet,20,1.000,3.279,14810385.067,nan,1,0,17694706,nmap,0,1.000,0.068,11292672.000,nan,1,0,0,env,200,1.000,18.142,2818935.467,nan,2,0,77401776,39.800,103.750,7565580288.000,7563555840.000,89.299,89.269,nan,nan,55,0
figlet,20,1.000,3.143,3706860.495,nan,2,0,18841111,nmap,0,1.000,0.062,11260245.333,nan,1,0,0,env,200,1.000,17.352,3270348.800,nan,2,0,187822982,40.467,101.833,7587151872.000,7585617408.000,89.556,89.537,nan,nan,30,0
figlet,20,1.000,2.730,9568938.667,nan,2,0,19418728,nmap,20,0.803,81.032,2254848.000,nan,3,1,20063615954,env,0,1.000,0.107,4413525.333,nan,1,0,0,39.067,144.810,7633303552.000,7852990464.000,90.108,92.793,nan,nan,45,1
figlet,20,1.000,3.455,2519040.000,nan,2,0,35326677,nmap,20,0.957,80.785,1736704.000,nan,3,0,17127016651,env,0,1.000,0.101,12331463.111,nan,1,0,0,38.533,139.056,7515205632.000,7815777280.000,88.835,92.451,nan,nan,85,1
